url_path,views_total,views_unique
/idaholab/moose-language-support,38,11
/idaholab/moose-language-support/commits/main,12,2
/idaholab/moose-language-support/activity,9,2
/idaholab/moose-language-support/pulls,8,2
/idaholab/moose-language-support/blob/main/grammars/moose.json,7,2
/idaholab/moose-language-support/blob/main/package.json,5,1
/idaholab/moose-language-support/blob/main/README.md,4,3
/idaholab/moose-language-support/issues,4,3
/idaholab/moose-language-support/blob/main/language-configuration.json,4,2
/idaholab/moose-language-support/discussions,3,3
