time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-07-10 00:00:00+00:00,2,1,,
2021-07-11 00:00:00+00:00,254,42,5.0,2.0
2021-07-12 00:00:00+00:00,420,53,16.0,4.0
2021-07-13 00:00:00+00:00,788,54,11.0,7.0
2021-07-14 00:00:00+00:00,829,53,1.0,1.0
2021-07-15 00:00:00+00:00,684,49,6.0,3.0
2021-07-16 00:00:00+00:00,341,56,18.0,2.0
2021-07-17 00:00:00+00:00,35,27,1.0,1.0
2021-07-18 00:00:00+00:00,137,47,1.0,1.0
2021-07-19 00:00:00+00:00,346,58,15.0,2.0
2021-07-20 00:00:00+00:00,1032,61,2.0,2.0
2021-07-21 00:00:00+00:00,695,59,23.0,4.0
2021-07-22 00:00:00+00:00,737,58,3.0,3.0
2021-07-23 00:00:00+00:00,424,52,3.0,2.0
