url_path,views_total,views_unique
/idaholab/moosetools/search,17,1
/idaholab/moosetools,11,5
/idaholab/moosetools/tree/880d209961346e912b7f043c3872310738b1a095,10,6
/idaholab/moosetools/tree/devel/contrib/hit,10,1
/idaholab/moosetools/blob/880d209961346e912b7f043c3872310738b1a095/requirements.txt,4,1
/idaholab/moosetools/blob/devel/requirements.txt,4,1
/idaholab/moosetools/tree/880d209961346e912b7f043c3872310738b1a095/contrib/hit,4,1
/idaholab/moosetools/blob/devel/contrib/hit/main.cc,3,2
/idaholab/moosetools/tree/devel/contrib,3,1
/idaholab/moosetools/issues/68,2,2
