time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-26 00:00:00+00:00,0,0,1,1
2024-11-29 00:00:00+00:00,1,1,0,0
2024-12-02 00:00:00+00:00,0,0,1,1
2024-12-06 00:00:00+00:00,0,0,2,2
2024-12-08 00:00:00+00:00,0,0,4,1
2024-12-09 00:00:00+00:00,1,1,1,1
2024-12-11 00:00:00+00:00,0,0,1,1
2024-12-17 00:00:00+00:00,1,1,0,0
2024-12-19 00:00:00+00:00,0,0,2,2
2024-12-24 00:00:00+00:00,0,0,1,1
2025-01-08 00:00:00+00:00,0,0,2,2
2025-01-15 00:00:00+00:00,0,0,1,1
2025-01-21 00:00:00+00:00,1,1,0,0
2025-01-22 00:00:00+00:00,0,0,1,1
2025-01-29 00:00:00+00:00,0,0,5,1
2025-02-03 00:00:00+00:00,0,0,3,1
2025-02-04 00:00:00+00:00,0,0,4,1
2025-02-05 00:00:00+00:00,0,0,1,1
2025-02-08 00:00:00+00:00,1,1,0,0
2025-02-10 00:00:00+00:00,1,1,0,0
2025-02-11 00:00:00+00:00,1,1,1,1
2025-02-13 00:00:00+00:00,1,1,4,1
