time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-06-24 00:00:00+00:00,0,0,1,1
2021-06-25 00:00:00+00:00,0,0,3,3
2021-06-26 00:00:00+00:00,0,0,1,1
2021-06-27 00:00:00+00:00,0,0,1,1
2021-06-28 00:00:00+00:00,0,0,17,3
2021-06-29 00:00:00+00:00,0,0,1,1
2021-06-30 00:00:00+00:00,0,0,2,2
2021-07-01 00:00:00+00:00,0,0,2,2
2021-07-04 00:00:00+00:00,0,0,3,2
2021-07-06 00:00:00+00:00,0,0,1,1
2021-07-11 00:00:00+00:00,0,0,1,1
2021-07-12 00:00:00+00:00,0,0,1,1
2021-07-14 00:00:00+00:00,0,0,1,1
2021-07-15 00:00:00+00:00,0,0,1,1
2021-07-16 00:00:00+00:00,0,0,1,1
2021-07-18 00:00:00+00:00,0,0,1,1
2021-07-19 00:00:00+00:00,0,0,2,2
2021-07-20 00:00:00+00:00,0,0,1,1
2021-07-21 00:00:00+00:00,0,0,2,2
2021-07-22 00:00:00+00:00,1,1,1,1
2021-07-23 00:00:00+00:00,0,0,2,2
2021-07-24 00:00:00+00:00,1,1,1,1
2021-07-25 00:00:00+00:00,0,0,3,3
2021-07-26 00:00:00+00:00,0,0,7,6
2021-07-28 00:00:00+00:00,0,0,2,2
2021-07-31 00:00:00+00:00,0,0,2,1
2021-08-01 00:00:00+00:00,0,0,1,1
2021-08-02 00:00:00+00:00,0,0,7,3
2021-08-05 00:00:00+00:00,0,0,2,1
2021-08-06 00:00:00+00:00,0,0,2,2
2021-08-08 00:00:00+00:00,0,0,1,1
2021-08-09 00:00:00+00:00,0,0,1,1
2021-08-11 00:00:00+00:00,0,0,2,2
2021-08-12 00:00:00+00:00,0,0,3,2
2021-08-13 00:00:00+00:00,0,0,1,1
2021-08-14 00:00:00+00:00,0,0,1,1
2021-08-16 00:00:00+00:00,0,0,2,1
2021-08-18 00:00:00+00:00,0,0,1,1
2021-08-19 00:00:00+00:00,0,0,1,1
2021-08-23 00:00:00+00:00,0,0,1,1
2021-08-26 00:00:00+00:00,0,0,2,2
2021-08-29 00:00:00+00:00,0,0,1,1
2021-08-31 00:00:00+00:00,0,0,9,2
2021-09-01 00:00:00+00:00,0,0,3,1
2021-09-02 00:00:00+00:00,0,0,3,2
2021-09-03 00:00:00+00:00,0,0,2,2
2021-09-05 00:00:00+00:00,0,0,1,1
2021-09-06 00:00:00+00:00,0,0,2,1
2021-09-07 00:00:00+00:00,0,0,2,2
2021-09-08 00:00:00+00:00,0,0,2,2
2021-09-10 00:00:00+00:00,0,0,1,1
2021-09-14 00:00:00+00:00,0,0,1,1
2021-09-15 00:00:00+00:00,0,0,2,2
2021-09-16 00:00:00+00:00,1,1,3,2
2021-09-18 00:00:00+00:00,0,0,3,2
2021-09-19 00:00:00+00:00,0,0,1,1
2021-09-20 00:00:00+00:00,0,0,3,3
2021-09-21 00:00:00+00:00,0,0,5,3
2021-09-23 00:00:00+00:00,0,0,3,2
2021-09-26 00:00:00+00:00,0,0,1,1
2021-09-28 00:00:00+00:00,0,0,10,3
2021-09-29 00:00:00+00:00,0,0,1,1
2021-10-01 00:00:00+00:00,0,0,1,1
2021-10-02 00:00:00+00:00,0,0,2,2
2021-10-07 00:00:00+00:00,0,0,2,2
2021-10-08 00:00:00+00:00,0,0,2,1
2021-10-09 00:00:00+00:00,0,0,2,2
2021-10-11 00:00:00+00:00,0,0,1,1
2021-10-12 00:00:00+00:00,0,0,1,1
2021-10-13 00:00:00+00:00,0,0,2,2
2021-10-14 00:00:00+00:00,0,0,1,1
2021-10-16 00:00:00+00:00,1,1,0,0
2021-10-18 00:00:00+00:00,0,0,3,1
2021-10-21 00:00:00+00:00,1,1,0,0
2021-10-22 00:00:00+00:00,0,0,18,1
2021-10-24 00:00:00+00:00,0,0,2,1
2021-10-25 00:00:00+00:00,0,0,1,1
2021-10-26 00:00:00+00:00,0,0,1,1
