time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-11-22 00:00:00+00:00,28.0,20.0,,
2021-11-23 00:00:00+00:00,33.0,20.0,1.0,1.0
2021-11-24 00:00:00+00:00,20.0,16.0,1.0,1.0
2021-11-25 00:00:00+00:00,28.0,18.0,3.0,1.0
2021-11-26 00:00:00+00:00,3.0,3.0,17.0,4.0
2021-11-27 00:00:00+00:00,1.0,1.0,,
2021-11-28 00:00:00+00:00,1.0,1.0,2.0,2.0
2021-11-29 00:00:00+00:00,23.0,19.0,,
2021-11-30 00:00:00+00:00,34.0,19.0,1.0,1.0
2021-12-01 00:00:00+00:00,23.0,16.0,,
2021-12-02 00:00:00+00:00,35.0,21.0,1.0,1.0
2021-12-03 00:00:00+00:00,23.0,16.0,,
2021-12-04 00:00:00+00:00,6.0,6.0,,
2021-12-05 00:00:00+00:00,14.0,12.0,,
2021-12-06 00:00:00+00:00,,,1.0,1.0
