time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-16 00:00:00+00:00,32,8,156,14
2022-11-17 00:00:00+00:00,95,6,493,29
2022-11-18 00:00:00+00:00,66,8,290,28
2022-11-19 00:00:00+00:00,33,4,62,20
2022-11-20 00:00:00+00:00,11,4,61,16
2022-11-21 00:00:00+00:00,113,19,179,48
2022-11-22 00:00:00+00:00,71,6,178,29
2022-11-23 00:00:00+00:00,32,5,103,15
2022-11-24 00:00:00+00:00,1,1,62,15
2022-11-25 00:00:00+00:00,3,3,51,15
2022-11-26 00:00:00+00:00,2,2,72,14
2022-11-27 00:00:00+00:00,2,2,73,4
2022-11-28 00:00:00+00:00,15,6,148,22
2022-11-29 00:00:00+00:00,43,26,122,24
2022-11-30 00:00:00+00:00,1,1,41,14
