time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-13 00:00:00+00:00,0,0,9,1
2025-07-14 00:00:00+00:00,18,9,64,4
2025-07-15 00:00:00+00:00,12,8,61,3
2025-07-16 00:00:00+00:00,12,4,4,1
2025-07-17 00:00:00+00:00,0,0,7,3
2025-07-18 00:00:00+00:00,24,10,63,4
2025-07-19 00:00:00+00:00,1,1,38,4
2025-07-20 00:00:00+00:00,0,0,12,3
2025-07-21 00:00:00+00:00,10,2,10,1
2025-07-22 00:00:00+00:00,0,0,15,5
2025-07-23 00:00:00+00:00,4,3,23,9
2025-07-24 00:00:00+00:00,2,2,24,5
2025-07-25 00:00:00+00:00,1,1,27,4
2025-07-26 00:00:00+00:00,32,6,18,1
2025-07-27 00:00:00+00:00,34,13,8,2
2025-07-28 00:00:00+00:00,1,1,42,6
2025-07-29 00:00:00+00:00,4,3,45,8
2025-07-30 00:00:00+00:00,47,17,83,5
2025-07-31 00:00:00+00:00,4,3,28,4
2025-08-01 00:00:00+00:00,2,2,3,2
